title,body,artist_id_old,price_freeform,set_times,starts_at
Justin Roberts and the Not Ready for Naptime Players,"<p><strong><em>This show is sponsored by <a href=""http://bigapplecircus.org/java.aspx"" target=""_blank"">The Big Apple Circus</a>.</em></strong></p>
<p><em><br /></em></p>",5092,$15 for everyone one and older,,3/6/10 14:30
The Verve Pipe (family show!),,4117,$8 for everyone one and older ,,2/21/10 18:00
Alex and the Kaleidoscope Band,,4275,$10 for everyone one and older,,1/23/10 14:30
The 3rd Annual ��_��__��_��__��_��__Robbie-noceros��_��__��_��__��_��__ New Years Eve Party for Kids,"<p><em>*Robbie and Rocknoceros are performing together for one long set. It's a kids music Supergroup!</em></p>
<p><em>*Robbie and Rocknoceros will do a full-fledged countdown and an apple juice toast for all!</em></p>",4597,$12 for everyone over one and older ,,12/31/09 18:00
"The 3rd Annual ""Robbie-noceros"" New Years Eve Party for Kids","<p><em>*Robbie and Rocknoceros are performing together for one long set. It's a kids music Supergroup!</em></p>
<p><em>*Robbie and Rocknoceros will do a full-fledged countdown and an apple juice toast for all!</em></p>",4542,$12 for everyone over one and older,,12/31/09 15:00
Hullabaloo Band,,3610,$8 for everyone one and older,,11/28/09 15:00
Billy Jonas (Trio Show!),<p><strong>Come see Billy like you have never seen him before at Jammin' Java - performing as a trio!</strong></p>,3897,$10 for everyone one and older,,11/21/09 18:00
Bill Harley,,3047,$12 for everyone one and older,,11/15/09 18:00
Ralph's World,,2660,$15 for everyone one and older,,11/7/09 18:00
Ralph's World,,4119,$15 for everyone one and older,,11/7/09 15:00
Elizabeth Mitchell,,3424,$8 for everyone one and older,,10/11/09 18:00
The Jimmies,,2970,$8 for everyone one and older,,10/3/09 19:00
Robbie Schaefer,,2653,$10 for everyone one and older,,9/26/09 14:30
Ben Rudnick & Friends,,2537,$8 for everyone one and older,,9/19/09 14:30
Banjo to Beatbox: Cathy Fink & Marcy Marxer with Christylez Bacon,,3543,$10 for everyone one and older,,9/12/09 14:59
Key Wilde and Mr. Clarke,,3086,$8 for everyone one and older,,8/29/09 15:00
Justin Roberts and the Not Ready for Naptime Players,,2198,$15 for everyone one and older,,8/22/09 18:30
Justin Roberts and the Not Ready for Naptime Players,,2197,$15 for everyone one and older,,8/22/09 16:30
Justin Roberts and the Not Ready for Naptime Players,<p><strong>TICKETS ARE STILL AVAILABLE FOR THE 12:30PM AND 2:30PM SHOWS!</strong></p>,3439,$15 for everyone one and older,,8/22/09 14:30
Girl Authority,,2591,$10 advance/ $12 at the door,,8/8/09 16:00
Robbie Schaefer,,2652,$10 for everyone one and older,,7/26/09 15:00
Lunch Money,<p>&nbsp;</p>,3019,$8 for everyone one and older,,7/25/09 15:00
Billy Jonas,,1243,$10 for everyone one and older,,7/11/09 18:00
Brady Rymer and the Little Band That Could,,1871,$10 for everyone one and older,,6/13/09 15:00
Roger Day,,2309,$10 for everyone over one year old,,5/3/09 18:00
Robbert Bobbert and The Bubble Machine,,1580,$8 for everyone over one year old,,2/21/09 15:00
Ralph's World,,923,$15 ,,2/8/09 19:30
Ralph's World,,1420,$15 ,,2/8/09 17:29
missbelle,"<p><span style=""font-size: xx-small;""><span style=""color: white;"">Singer-songwriter Isabelle Chester (Miss Belle) performs original children's songs and well- known kid &amp; traditional favorites in English and Spanish accompanied by her rhythmic guitar playing to get her audience up on its feet and dancing in the aisles. Miss Belle regularly performs in the greater Washington, D.C. area. </span></span></p>",1076,,,1/27/09 14:45
Justin Roberts,,586,$15 for everyone over one year old ,,1/24/09 18:30
Justin Roberts,,585,$15 for everyone over one year old ,,1/24/09 16:30
Justin Roberts,<p>SOLD OUT!</p>,913,$15 for everyone over one year old,,1/24/09 14:30
Cathy & Marcy's 3rd Family Jamboree,,720,$10 ,,1/10/09 21:00
